Time,Event Title,Location,Extra Info
7:30 - 9:30 AM,Breakfast Buffet,Booth Commons,
8:00 - 11:00 AM,Registration ,Booth Commons Patio,
8:00 - 8:55 AM,Advisor and Parent Conferences,Various Locations,
9:00 - 10:40 AM,Classes,See Your Student Schedule,
9:00 - 9:30 AM,E Block Class,See Your Student Schedule,
9:40 - 10:00 AM,F Block Class,See Your Student Schedule,
10:20 - 10:50 AM,G Block Class,See Your Student Schedule,
11:00 - 11:40 AM,Celebrating of Writing and Music,Katharine Thayer Cate Memorial Chapel,
11:00 - 11:40 AM,Featuring Chamber Ensemble,,
11:45 - 1:00 PM,Lunch (Music by Cate Rock Bands 12-1 PM) ,Booth Commons,
12:00 - 1:55 PM,Advisor and Parent Conferences,Various Locations,
12:45 - 1:15 PM,Senior Parent Information Meeting ,Class of 1985 Patio,"Information about Awards, Baccalaureate, and Commencement. Commencement Invitations will be distributed."
1:00 - 2:15 PM,College Counseling Presentation,Johnson LIbrary,"Christina Lopez, Dean of Enrollment Management, Barnard College"
2:30 - 4:00 PM,Cate Artists Theater Ensemble | Chicago - The Musical ,Hitchcock Theatre,Center section is reserved for parents of cast members.
4:30 - 5:30 PM,People of Color Reception,Class of 1985 Patio,
5:00 - 6:30 PM,Buffet Dinner,Booth Commons,
